Capital,Pais_ISO,Pais_Nome,Tendencia_5_Anos,Nivel_Liberdade_Mio,Tamanho_Medio_Historico,Duracao_Media_Historica,Principais_Participantes,Principais_Motivações,Resultados_Comuns,Perfil_Risco_Justificativa
Brussels,BEL,Belgium,Risco Baixo,Free,Tens of thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Brussels (País: Belgium, Nível Liberdade: Free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Sarajevo,BIH,Bosnia and Herzegovina,Risco Elevado,Partly free,Thousands,1 day,Bosnian Serbs.,"Política, Corrupção, Gênero","Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Sarajevo (País: Bosnia and Herzegovina, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Política, Corrupção, Gênero). Participantes: (Bosnian Serbs.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Protesto Longo (>3m), Protesto Grande (>100k)."
Islamabad,PAK,Pakistan,Risco Muito Elevado,Partly free,Thousands,1 month,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Islamabad (País: Pakistan, Nível Liberdade: Partly free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Sydney,AUS,Australia,Sem Dados,Free,Tens of thousands,1 day,"Indigenous activists, general public",Política,Não especificado,"Cidade: Sydney (País: Australia, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Indigenous activists, general public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Não especificado."
Phnom Penh,KHM,Cambodia,Sem Dados,Not Free,Hundreds,1 day,Farmers in Takeo,Econômica,Outcome Significativo,"Cidade: Phnom Penh (País: Cambodia, Nível Liberdade: Not Free). Tendência: 'Sem Dados'. Motivações: (Econômica). Participantes: (Farmers in Takeo). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Juba,SSD,South Sudan,Sem Dados,Not Free,Hundreds,1 day,Youth,Política,Não especificado,"Cidade: Juba (País: South Sudan, Nível Liberdade: Not Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Youth). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Kinshasa,,Democratic Republic of the Congo,Risco Elevado,Not free,Tens of thousands,1 day,General public,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta","Cidade: Kinshasa (País: Democratic Republic of the Congo, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Conakry,GIN,Guinea,Risco Médio,Partly free,Hundreds,1 month,"Coalition of politicians, activists.","Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Conakry (País: Guinea, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Coalition of politicians, activists.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Podgorica,MNE,Montenegro,Risco Baixo,Partly free,Thousands,1 day,General public.,Política,"Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Podgorica (País: Montenegro, Nível Liberdade: Partly free). Tendência: 'Risco Baixo'. Motivações: (Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Quito,ECU,Ecuador,Risco Elevado,Free,Thousands,2 weeks,"General public, especially Indigenous groups.","Econômica, Política, Gênero","Outcome Significativo, Resposta Gov. Violenta","Cidade: Quito (País: Ecuador, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Gênero). Participantes: (General public, especially Indigenous groups.). Duração: '2 weeks'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Seoul,KOR,South Korea,Risco Muito Elevado,Free,Thousands,1 day,"Anti-Cho protesters: evangelical Christian activists, conservatives, older citizens; pro-Cho protesters: younger, urban, white-collar workers.","Econômica, Política, Corrupção","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Seoul (País: South Korea, Nível Liberdade: Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (Anti-Cho protesters: evangelical Christian activists, conservatives, older citizens; pro-Cho protesters: younger, urban, white-collar workers.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Beijing,CHN,China,Risco Elevado,Not free,Thousands,1 week,General public,"Econômica, Política",Outcome Significativo,"Cidade: Beijing (País: China, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
N'Djamena,TCD,Chad,Risco Médio,Not free,Thousands,1 week,General public.,Política,"Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: N'Djamena (País: Chad, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Política). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Tbilisi,GEO,Georgia,Risco Elevado,Partly free,Thousands,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Tbilisi (País: Georgia, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
South Korea,KOR,South Korea,Sem Dados,Free,Tens of thousands,1 day,Opposition,Política,Não especificado,"Cidade: South Korea (País: South Korea, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Opposition). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Não especificado."
Vilnius,LTU,Lithuania,Sem Dados,Free,Thousands,2 days (November 15 and 18),General public,Política,Não especificado,"Cidade: Vilnius (País: Lithuania, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (General public). Duração: '2 days (November 15 and 18)'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Belgrade,SRB,Serbia,Risco Elevado,Partly free,Hundreds,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Belgrade (País: Serbia, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Naypyidaw,MMR,Myanmar,Risco Baixo,Not free,Hundreds of thousands,1.5 years,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Naypyidaw (País: Myanmar, Nível Liberdade: Not free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1.5 years'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Maputo,MOZ,Mozambique,Risco Muito Baixo,Partly free,Thousands,1 month,General public.,"Econômica, Política, Corrupção","Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Maputo (País: Mozambique, Nível Liberdade: Partly free). Tendência: 'Risco Muito Baixo'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m)."
Lisbon,PRT,Portugal,Risco Muito Elevado,Free,Thousands,1 day,General public,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Lisbon (País: Portugal, Nível Liberdade: Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Baghdad,IRQ,Iraq,Risco Elevado,Not free,Hundreds,2 days,Activists,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Baghdad (País: Iraq, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (Activists). Duração: '2 days'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
La Paz,BOL,Bolivia,Risco Médio,Partly free,Thousands,1 week,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: La Paz (País: Bolivia, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Lima,PER,Peru,Risco Elevado,Partly free,Thousands,1 month,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Lima (País: Peru, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Accra,GHA,Ghana,Risco Elevado,Free,Hundreds,1 day,"Activist groups (Democracy Hub, FixTheCountry), Catholic parishioners","Econômica, Política, Corrupção",Não especificado,"Cidade: Accra (País: Ghana, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (Activist groups (Democracy Hub, FixTheCountry), Catholic parishioners). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Warsaw,POL,Poland,Risco Muito Elevado,Free,Thousands,1 day,General public.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Warsaw (País: Poland, Nível Liberdade: Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Kabul,AFG,Afghanistan,Risco Médio,Not free,Dozens,1 week,Afghan Women's History Transformation Movement,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Protesto Grande (>100k)","Cidade: Kabul (País: Afghanistan, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (Afghan Women's History Transformation Movement). Duração: '1 week'. Tamanho: 'Dozens'. Resultados comuns: Outcome Significativo, Protesto Grande (>100k)."
Canberra,AUS,Australia,Risco Médio,Free,Thousands,1 day,General public.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Canberra (País: Australia, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Gaborone,BWA,Botswana,Sem Dados,Free,Thousands,1 day,"Opposition, civil society groups",Política,Outcome Significativo,"Cidade: Gaborone (País: Botswana, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Opposition, civil society groups). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
Dodoma,TZA,Tanzania,Sem Dados,Partly Free,Hundreds,1 day,"Maasai people in Ngorongoro, Tanzania",Política,Outcome Significativo,"Cidade: Dodoma (País: Tanzania, Nível Liberdade: Partly Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Maasai people in Ngorongoro, Tanzania). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Pristina,SRB,Kosovo,Risco Médio,Partly free,Hundreds,1 day,Ethnic Serbs in Kosovo.,"Econômica, Política, Gênero","Outcome Significativo, Protesto Longo (>3m)","Cidade: Pristina (País: Kosovo, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Gênero). Participantes: (Ethnic Serbs in Kosovo.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
Abuja,NGA,Nigeria,Risco Elevado,Partly free,Thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Abuja (País: Nigeria, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Caracas,VEN,Venezuela,Risco Médio,Not free,Thousands,1 month; 1 day in January 2025,"General public, especially those outside of the capital.","Econômica, Política, Corrupção","Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Caracas (País: Venezuela, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public, especially those outside of the capital.). Duração: '1 month; 1 day in January 2025'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m)."
Nouakchott,MRT,Mauritania,Risco Médio,Partly Free,Hundreds,1 week,"Opposition, general public","Econômica, Política, Corrupção",Resposta Gov. Violenta,"Cidade: Nouakchott (País: Mauritania, Nível Liberdade: Partly Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Opposition, general public). Duração: '1 week'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta."
Kampala,UGA,Uganda,Risco Médio,Not free,Thousands,1 week,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Kampala (País: Uganda, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Moscow,RUS,Russia,Risco Elevado,Not free,Thousands,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Moscow (País: Russia, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Bern,CHE,Switzerland,Risco Médio,Free,Tens of thousands,1 day,General public.,"Econômica, Política, Gênero","Outcome Significativo, Protesto Longo (>3m)","Cidade: Bern (País: Switzerland, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
Banjul,GMB,Gambia,Risco Médio,Partly free,Tens of thousands,1 day in March 2024; 1 day on July 2024,General public.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta","Cidade: Banjul (País: Gambia, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 day in March 2024; 1 day on July 2024'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Wellington,NZL,New Zealand,Risco Médio,Free,Tens of thousands,1 day,Farmers.,"Econômica, Política","Outcome Significativo, Protesto Longo (>3m)","Cidade: Wellington (País: New Zealand, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Farmers.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
Amman,JOR,Jordan,Risco Médio,Not free,Hundreds,1 month,"General public, especially teachers.","Econômica, Política",Resposta Gov. Violenta,"Cidade: Amman (País: Jordan, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public, especially teachers.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta."
Niamey,NGA,Niger,Risco Elevado,Partly free,Hundreds,1 day,General public,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Niamey (País: Niger, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Yerevan,ARM,Armenia,Risco Elevado,Partly free,Thousands,1 month,Coalition of seventeen opposition parties and their adherents.,"Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Yerevan (País: Armenia, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Política, Corrupção). Participantes: (Coalition of seventeen opposition parties and their adherents.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Guatemala City,GTM,Guatemala,Risco Elevado,Partly free,Thousands,1 month,"General public, especially indigenous and student groups.","Política, Corrupção","Outcome Significativo, Protesto Longo (>3m)","Cidade: Guatemala City (País: Guatemala, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Política, Corrupção). Participantes: (General public, especially indigenous and student groups.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
Porto-Novo,BEN,Benin,Risco Médio,Partly free,Hundreds,1 day,General public.,"Econômica, Política, Corrupção","Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Porto-Novo (País: Benin, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Havana,CUB,Cuba,Risco Baixo,Not free,Hundreds,1 month,General public.,"Econômica, Política",Resposta Gov. Violenta,"Cidade: Havana (País: Cuba, Nível Liberdade: Not free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta."
Dakar,SEN,Senegal,Risco Médio,Partly free,Thousands,1 month,General public.,Política,"Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Dakar (País: Senegal, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Política). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Helsinki,FIN,Finland,Sem Dados,Free,Hundreds of thousands,1 day in December 2023; active February 2024 through April 2024,"Public transit workers, unions",Econômica,Protesto Grande (>100k),"Cidade: Helsinki (País: Finland, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Econômica). Participantes: (Public transit workers, unions). Duração: '1 day in December 2023; active February 2024 through April 2024'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Protesto Grande (>100k)."
Amsterdam,NLD,Netherlands,Risco Muito Elevado,Free,Tens of thousands,1 day,"Climate Crisis Coalition, Fridays for Future, doctors and medical professionals.","Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Amsterdam (País: Netherlands, Nível Liberdade: Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política). Participantes: (Climate Crisis Coalition, Fridays for Future, doctors and medical professionals.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Prague,CZE,Czech Republic,Risco Elevado,Free,Thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Protesto Longo (>3m)","Cidade: Prague (País: Czech Republic, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
Valletta,MLT,Malta,Risco Médio,Free,Tens of thousands,1 day,Farmers,"Econômica, Política",Outcome Significativo,"Cidade: Valletta (País: Malta, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Farmers). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo."
Bishkek,KGZ,Kyrgyzstan,Risco Elevado,Not free,Hundreds,1 day,General public.,"Econômica, Política, Corrupção, Gênero",Outcome Significativo,"Cidade: Bishkek (País: Kyrgyzstan, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Astana,KAZ,Kazakhstan,Sem Dados,Not free,Dozens,1 day,"Ethnic Kazakhs, Muslims, relatives of those detained in Xinjiang",Política,Não especificado,"Cidade: Astana (País: Kazakhstan, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Ethnic Kazakhs, Muslims, relatives of those detained in Xinjiang). Duração: '1 day'. Tamanho: 'Dozens'. Resultados comuns: Não especificado."
Zagreb,HRV,Croatia,Risco Médio,Free,Tens of thousands,1 day,"General public, especially antivaccine advocates.","Econômica, Política, Corrupção, Gênero","Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Zagreb (País: Croatia, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public, especially antivaccine advocates.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m)."
Colombo,LKA,Sri Lanka,Risco Elevado,Partly free,Thousands,1 week,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Colombo (País: Sri Lanka, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
