Capital,Pais_ISO,Pais_Nome,Tendencia_5_Anos,Nivel_Liberdade_Mio,Tamanho_Medio_Historico,Duracao_Media_Historica,Principais_Participantes,Principais_Motivações,Resultados_Comuns,Perfil_Risco_Justificativa
Mogadishu,SOM,Somalia,Risco Médio,Not free,Hundreds,1 week,General public.,"Econômica, Política, Corrupção",Resposta Gov. Violenta,"Cidade: Mogadishu (País: Somalia, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta."
Moroni,COM,Comoros,Risco Baixo,Partly free,Hundreds of thousands,1 week,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Moroni (País: Comoros, Nível Liberdade: Partly free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Port Moresby,PNG,Papua New Guinea,Sem Dados,Partly free,Thousands,1 day,"Police officers, public servants",Econômica,Resposta Gov. Violenta,"Cidade: Port Moresby (País: Papua New Guinea, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Econômica). Participantes: (Police officers, public servants). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta."
Tiraspol,,Transnistria,Sem Dados,Not free,Hundreds,1 day,Residents of Transnistria,"Econômica, Política",Não especificado,"Cidade: Tiraspol (País: Transnistria, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (Residents of Transnistria). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Ottawa,CAN,Canada,Risco Médio,Free,Thousands,1 month,Education workers,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Ottawa (País: Canada, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Education workers). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Bogota,COL,Colombia,Risco Médio,Partly free,Thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Bogota (País: Colombia, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Stockholm,SWE,Sweden,Sem Dados,Free,Hundreds,1 day,Climate activists.,Política,Outcome Significativo,"Cidade: Stockholm (País: Sweden, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Climate activists.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
"Washington, D.C.",USA,United States,Risco Elevado,Free,Thousands,1 day,General public.,"Econômica, Política, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Washington, D.C. (País: United States, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Papeetee,PYF,French Polynesia,Sem Dados,Free,Hundreds,3 months,"Surfers, Tahiti residents.",Não especificada,Outcome Significativo,"Cidade: Papeetee (País: French Polynesia, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Não especificada). Participantes: (Surfers, Tahiti residents.). Duração: '3 months'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Antananarivo,MDG,Madagascar,Risco Médio,Partly free,Hundreds,1 month,"Collectif des 10, members of the opposition.","Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Antananarivo (País: Madagascar, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Collectif des 10, members of the opposition.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Rabat,MAR,Morocco,Risco Médio,Partly free,Tens of thousands,1 day,General public.,"Econômica, Política, Gênero","Outcome Significativo, Protesto Longo (>3m)","Cidade: Rabat (País: Morocco, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
"Cape Town, Pretoria, Bloemfontein",ZAF,South Africa,Sem Dados,Free,Hundreds,1 day,"Indigenous people, South Africa's First Nation groups",Política,Não especificado,"Cidade: Cape Town, Pretoria, Bloemfontein (País: South Africa, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Indigenous people, South Africa's First Nation groups). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Tegucigalpa,HND,Honduras,Risco Médio,Partly free,Thousands,1 day,Opposition members.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Tegucigalpa (País: Honduras, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Opposition members.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Dublin,,Republic of Ireland,Sem Dados,Free,Hundreds,1 day,"Far-right activists, especially oppone.nts of immigration",Política,Não especificado,"Cidade: Dublin (País: Republic of Ireland, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Far-right activists, especially oppone.nts of immigration). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Addis Ababa,ETH,Ethiopia,Risco Médio,Not free,Thousands,1 day,Amharas,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Addis Ababa (País: Ethiopia, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Amharas). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Gaza City,,Gaza Strip,Risco Elevado,Not free,Hundreds,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Gaza City (País: Gaza Strip, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Dak\,SEN,Senegal,Sem Dados,Partly free,Hundreds,1 week,Residents of Dakar's Ngor district.,Política,Outcome Significativo,"Cidade: Dak\ (País: Senegal, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Residents of Dakar's Ngor district.). Duração: '1 week'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Hong Kong,HKG,Hong Kong,Risco Médio,Partly free,Hundreds,1 day,General public.,"Política, Corrupção","Outcome Significativo, Protesto Grande (>100k)","Cidade: Hong Kong (País: Hong Kong, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Protesto Grande (>100k)."
Ljubljana,SVN,Slovenia,Risco Médio,Free,Tens of thousands,1 day,General public.,"Econômica, Política, Corrupção",Protesto Longo (>3m),"Cidade: Ljubljana (País: Slovenia, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Protesto Longo (>3m)."
Ramallah,,West Bank,Risco Baixo,Not free,Thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Ramallah (País: West Bank, Nível Liberdade: Not free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Freetown,SLE,Sierra Leone,Risco Médio,Partly free,Hundreds,2 weeks,General public.,"Econômica, Política, Corrupção",Resposta Gov. Violenta,"Cidade: Freetown (País: Sierra Leone, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '2 weeks'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta."
Lilongwe,MWI,Malawi,Risco Baixo,Partly free,Thousands,1 day,General public.,"Econômica, Política",Não especificado,"Cidade: Lilongwe (País: Malawi, Nível Liberdade: Partly free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
"Pretoria, Cape Town, Bloemfontein",ZAF,South Africa,Risco Elevado,Free,Thousands,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Pretoria, Cape Town, Bloemfontein (País: South Africa, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Yaoundé,CMR,Cameroon,Risco Médio,Not free,Hundreds,1 day,Women.,"Política, Gênero",Outcome Significativo,"Cidade: Yaoundé (País: Cameroon, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Política, Gênero). Participantes: (Women.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Copenhagen,DNK,Denmark,Sem Dados,Free,Tens of thousands,1 day,Labor unions.,Política,Não especificado,"Cidade: Copenhagen (País: Denmark, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Labor unions.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Não especificado."
Oslo,NOR,Norway,Sem Dados,Free,Hundreds,9 days,"Sami people, Greta Thunberg.",Política,Não especificado,"Cidade: Oslo (País: Norway, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Sami people, Greta Thunberg.). Duração: '9 days'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Paramaribo,SUR,Suriname,Sem Dados,Free,Hundreds,1 month,General public.,"Econômica, Política",Não especificado,"Cidade: Paramaribo (País: Suriname, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Abu Dhabi,ARE,United Arab Emirates,Sem Dados,Not free,Thousands,2 weeks,General public,"Econômica, Política, Corrupção",Não especificado,"Cidade: Abu Dhabi (País: United Arab Emirates, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public). Duração: '2 weeks'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Blantyre,MWI,Malawi,Sem Dados,Partly free,Hundreds,1 day,General public.,"Econômica, Política, Corrupção",Não especificado,"Cidade: Blantyre (País: Malawi, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Mbabane,SWZ,Eswatini,Risco Médio,Not free,Tens of thousands,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Mbabane (País: Eswatini, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Dushanbe,TJK,Tajikistan,Sem Dados,Not free,Thousands,1 month,Residents of the Gorno-Badakhshan Autonomous Region.,Política,Resposta Gov. Violenta,"Cidade: Dushanbe (País: Tajikistan, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Residents of the Gorno-Badakhshan Autonomous Region.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta."
Yaounde,CMR,Cameroon,Risco Médio,Not free,Tens of thousands,1 day in March 2022; 1 day in March 2023,"English-speakers, especially advocates of independence for English-speaking Ambazonia.","Econômica, Política, Gênero","Outcome Significativo, Resposta Gov. Violenta","Cidade: Yaounde (País: Cameroon, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Gênero). Participantes: (English-speakers, especially advocates of independence for English-speaking Ambazonia.). Duração: '1 day in March 2022; 1 day in March 2023'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Chisinau,MDA,Moldova,Risco Médio,Partly free,Hundreds of thousands,1 year,"General public, especially members of the opposition Shor party.","Econômica, Política","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Chisinau (País: Moldova, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public, especially members of the opposition Shor party.). Duração: '1 year'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Tashkent,UZB,Uzbekistan,Sem Dados,Not free,Thousands,1 week,Residents of Karakalpakstan,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta","Cidade: Tashkent (País: Uzbekistan, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (Residents of Karakalpakstan). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Nur-Sultan,KAZ,Kazakhstan,Risco Baixo,Not free,Hundreds of thousands,10 days,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Nur-Sultan (País: Kazakhstan, Nível Liberdade: Not free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '10 days'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Minsk,BLR,Belarus,Risco Médio,Not free,Hundreds,1 day,General public.,"Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Minsk (País: Belarus, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Baku,AZE,Azerbaijan,Risco Médio,Not free,Thousands,1 day,General public.,Política,"Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Baku (País: Azerbaijan, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
San Salvador,SLV,El Salvador,Sem Dados,Partly free,Thousands,2 months,General public.,"Econômica, Política",Não especificado,"Cidade: San Salvador (País: El Salvador, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '2 months'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Windhoek,NAM,Namibia,Sem Dados,Free,Hundreds,1 day,General public.,Política,Não especificado,"Cidade: Windhoek (País: Namibia, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Honiara,SLB,Solomon Islands,Sem Dados,Free,Thousands,2 weeks,Residents of Malaita.,"Econômica, Política",Não especificado,"Cidade: Honiara (País: Solomon Islands, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (Residents of Malaita.). Duração: '2 weeks'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Muscat,OMN,Oman,Risco Médio,Not free,Hundreds,1 week,"General public, especially youth.","Econômica, Política",Outcome Significativo,"Cidade: Muscat (País: Oman, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public, especially youth.). Duração: '1 week'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Manama,BHR,Bahrain,Sem Dados,Not free,Hundreds,1 day,Residents of the town of Diah; general public.,Política,Não especificado,"Cidade: Manama (País: Bahrain, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Residents of the town of Diah; general public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Cairo,EGY,Egypt,Risco Médio,Not free,Tens of thousands,1 week,"Rural citizens, especially those displaced by the government's demolition campaign.","Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Cairo (País: Egypt, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Rural citizens, especially those displaced by the government's demolition campaign.). Duração: '1 week'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Ashgabat,TKM,Turkmenistan,Sem Dados,Not free,Tens of thousands,1 day,General public.,Política,Resposta Gov. Violenta,"Cidade: Ashgabat (País: Turkmenistan, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Resposta Gov. Violenta."
Khartoum,SDN,Sudan,Risco Elevado,Not free,Thousands,1 month,"General public, professional organizations, resistance committees; Islamic groups and supporters of Bashir.","Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Khartoum (País: Sudan, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public, professional organizations, resistance committees; Islamic groups and supporters of Bashir.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Yamoussoukro,,Ivory Coast,Sem Dados,Partly free,Thousands,3 months,General public.,Política,Resposta Gov. Violenta,"Cidade: Yamoussoukro (País: Ivory Coast, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (General public.). Duração: '3 months'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta."
Port Louis,MUS,Mauritius,Sem Dados,Free,Hundreds of thousands,2 months,"General public, particularly environmental activists.","Econômica, Política","Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Port Louis (País: Mauritius, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (General public, particularly environmental activists.). Duração: '2 months'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Grande (>100k)."
Kuwait City,KWT,Kuwait,Sem Dados,Partly free,Tens of thousands,1 week,"General public, including former and current members of parliament.","Econômica, Política",Não especificado,"Cidade: Kuwait City (País: Kuwait, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (General public, including former and current members of parliament.). Duração: '1 week'. Tamanho: 'Tens of thousands'. Resultados comuns: Não especificado."
Harare,ZWE,Zimbabwe,Risco Médio,Not free,Thousands,1 day,General public.,"Econômica, Política",Resposta Gov. Violenta,"Cidade: Harare (País: Zimbabwe, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta."
Algiers,DZA,Algeria,Sem Dados,Not free,Millions,1 year (first round); 2 months (second wave),"Opposition parties; a wide range of everyday citizens, such as bankers, truck drivers, teachers, students.","Econômica, Política, Corrupção","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Algiers (País: Algeria, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política, Corrupção). Participantes: (Opposition parties; a wide range of everyday citizens, such as bankers, truck drivers, teachers, students.). Duração: '1 year (first round); 2 months (second wave)'. Tamanho: 'Millions'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Libreville,GAB,Gabon,Sem Dados,Not free,Tens of thousands,1 week,Secondary school students.,"Política, Corrupção",Outcome Significativo,"Cidade: Libreville (País: Gabon, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Política, Corrupção). Participantes: (Secondary school students.). Duração: '1 week'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo."
San Jose,CRI,Costa Rica,Sem Dados,Free,Hundreds of thousands,1 month,"Trade unions, public sector workers.",Econômica,"Outcome Significativo, Protesto Grande (>100k)","Cidade: San Jose (País: Costa Rica, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Econômica). Participantes: (Trade unions, public sector workers.). Duração: '1 month'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Outcome Significativo, Protesto Grande (>100k)."
Hanoi,VNM,Vietnam,Sem Dados,Not free,Hundreds,1 week,"General public, including war veterans.","Econômica, Política",Não especificado,"Cidade: Hanoi (País: Vietnam, Nível Liberdade: Not free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (General public, including war veterans.). Duração: '1 week'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Montevideo,URY,Uruguay,Sem Dados,Free,Thousands,1 day,Political opposition.,Política,Não especificado,"Cidade: Montevideo (País: Uruguay, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Political opposition.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Malé,MDV,Maldives,Sem Dados,Partly free,Hundreds of thousands,1 month,General public.,"Econômica, Política",Protesto Grande (>100k),"Cidade: Malé (País: Maldives, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Protesto Grande (>100k)."
Managua,NIC,Nicaragua,Sem Dados,Partly free,Hundreds of thousands,4 months,"Conservative Islamist party, teachers and students from religious schools.","Econômica, Política","Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Managua (País: Nicaragua, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política). Participantes: (Conservative Islamist party, teachers and students from religious schools.). Duração: '4 months'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Santo Domingo,DOM,Dominican Republic,Sem Dados,Partly free,Hundreds of thousands,"1 year, 6 months",Young people.,Política,Protesto Grande (>100k),"Cidade: Santo Domingo (País: Dominican Republic, Nível Liberdade: Partly free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Young people.). Duração: '1 year, 6 months'. Tamanho: 'Hundreds of thousands'. Resultados comuns: Protesto Grande (>100k)."
