Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A systematic mapping review of foreign direct investment by multinational corporations in emerging economies,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04571-y,Ahmed NazzalAngels Monserrat NiñerolaMaria-Victoria Sánchez-RebullMaria Glòria Barberà-Mariné,2025,https://link.springer.com/article/10.1057/s41599-025-04571-y,Article
Evaluating the impact of systemic corruption and political risk on foreign direct investment inflows in Nigeria: an analysis of key determinants,Discover Sustainability,,,,10.1007/s43621-024-00676-7,Godswill OsumaAdesewa AyindeNzimande NtokozoBenjamin Ehikioya,2024,https://link.springer.com/article/10.1007/s43621-024-00676-7,Article
Indigenous peoples’ reactions to foreign direct investment: a social movement perspective,Journal of International Business Studies,,,,10.1057/s41267-025-00778-y,Anne Spencer JamisonDoron TadmorWitold Jerzy Henisz,2025,https://link.springer.com/article/10.1057/s41267-025-00778-y,Article
Episode of Foreign Direct Investment Reversal—The Role of Macroeconomic Fundamentals in Sub-Saharan Africa,"Journal of Industry, Competition and Trade",,,,10.1007/s10842-025-00447-8,Adewale Rafiu AregbesholaIbrahim Ayoade Adekunle,2025,https://link.springer.com/article/10.1007/s10842-025-00447-8,Article
Input-Factor Mobility and the Impact of Host Country Institutions on Foreign Direct Investment in Natural Resources,Studies in Comparative International Development,,,,10.1007/s12116-024-09453-z,Andres A. SandovalPatrick J. W. EganJoe Weinberg,2025,https://link.springer.com/article/10.1007/s12116-024-09453-z,Article
Copula autoregressive (COPAR) modelling of dependence between foreign direct investment and CO<sub>2</sub> emissions in Southern Africa,Discover Environment,,,,10.1007/s44274-025-00316-5,Twahil Hemed Shakiru,2025,https://link.springer.com/article/10.1007/s44274-025-00316-5,Article
Do foreign direct investment and trade openness matter for environmental sustainability in Vietnam? Evidence from time–frequency analysis,Discover Sustainability,,,,10.1007/s43621-025-01106-y,Bui Hoang NgocNguyen Tien LongNguyen Huynh Mai Tram,2025,https://link.springer.com/article/10.1007/s43621-025-01106-y,Article
"Geopolitical alignment, outside options, and inward FDI: an integrated framework and policy pathways",Journal of International Business Policy,,,,10.1057/s42214-025-00212-y,Sumon Kumar BhaumikNigel DriffieldSaul EstrinZarlasht M. Razeq,2025,https://link.springer.com/article/10.1057/s42214-025-00212-y,Article
Democracy and Natural Resources: Their Institutional Impact on Tax Haven Use by Emerging Market Multinational Enterprises,Management International Review,,,,10.1007/s11575-025-00592-6,Kelon FelixChris JonesJohan RewilakYama Temouri,2025,https://link.springer.com/article/10.1007/s11575-025-00592-6,Article
"ASEAN’s environmental consequences: tourism, globalization, and FDI under the pollution haven hypothesis",Discover Sustainability,,,,10.1007/s43621-025-01240-7,Md. Ibrahim KholilFarian TahrimMiguel Angel EsquiviasMd Abdullah Al MamunYessi Rahmawati,2025,https://link.springer.com/article/10.1007/s43621-025-01240-7,Article
"Rule of law &amp; property rights, FDI, and environmental quality nexus: a dynamic panel threshold analysis",Discover Sustainability,,,,10.1007/s43621-025-01463-8,Muhammad Asim ImamW. N. W. Azman-SainiMuhammad Adeel Abbas,2025,https://link.springer.com/article/10.1007/s43621-025-01463-8,Article
Real option portfolios and the theory of the multinational enterprise: understanding modes of international involvement in the digital economy,Journal of International Business Studies,,,,10.1057/s41267-025-00806-x,Lenos TrigeorgisStewart R. Miller,2025,https://link.springer.com/article/10.1057/s41267-025-00806-x,Article
Ethical Issues in International Business Research,Management International Review,,,,10.1007/s11575-025-00598-0,Dirk Holtbrügge,2025,https://link.springer.com/article/10.1007/s11575-025-00598-0,Article
Bayesian average of classical estimates for panel data: Can the puzzle of the shape of the regional Kuznets curve be solved?,Empirical Economics,,,,10.1007/s00181-025-02755-8,Andrés Ramírez-HassanCarlos MendezEstephania Rueda-Ramírez,2025,https://link.springer.com/article/10.1007/s00181-025-02755-8,Article
Drivers of entrepreneurship development in South Asia: empirical insights and policy recommendations,Journal of Innovation and Entrepreneurship,,,,10.1186/s13731-025-00512-w,Emon Kalyan Chowdhury,2025,https://link.springer.com/article/10.1186/s13731-025-00512-w,Article
Thriving in turbulence: resilience and strategic adaptation in global business,Review of Managerial Science,,,,10.1007/s11846-025-00940-8,Faisal Saeed MalikOrestis Terzidis,2025,https://link.springer.com/article/10.1007/s11846-025-00940-8,Article
The Impact of Wealth Inequality on Economic Growth: A Machine Learning Approach,Computational Economics,,,,10.1007/s10614-025-10902-7,Seyed Armin MotaharSiab Mamipour,2025,https://link.springer.com/article/10.1007/s10614-025-10902-7,Article
Assessing the impact of government expenditure and economic growth empirical evidence from Somalia,Discover Sustainability,,,,10.1007/s43621-025-01598-8,Ahmed Abdullahi MohamudAbdikani Salah Abdulle,2025,https://link.springer.com/article/10.1007/s43621-025-01598-8,Article
Income inequality dynamics in ASEAN-5: a panel data approach using CS-ARDL to examine macroeconomic factors,Discover Sustainability,,,,10.1007/s43621-025-01068-1,Mohsen AyyashSiok Kun SekAli Kole,2025,https://link.springer.com/article/10.1007/s43621-025-01068-1,Article
"Artificial states, ethnicity, and the survival of private participation infrastructure projects in Africa",Journal of International Business Studies,,,,10.1057/s41267-025-00772-4,Shuo ZhangJane W. Lu,2025,https://link.springer.com/article/10.1057/s41267-025-00772-4,Article
How did the Brexit uncertainty impact services exports of UK firms?,Journal of International Business Policy,,,,10.1057/s42214-024-00202-6,Jun DuOleksandr ShepotyloXiaocan Yuan,2025,https://link.springer.com/article/10.1057/s42214-024-00202-6,Article
Country risk mapping in a changing world—comparative survey on academic research and industrial practices,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-024-02600-8,Guicang PengKnut Erik BangTore Markeset,2024,https://link.springer.com/article/10.1007/s13198-024-02600-8,Article
Sustainable Development Goals and Unemployment: Worldwide Evidence,Journal of the Knowledge Economy,,,,10.1007/s13132-025-02782-x,Peter Eshak Nashed SolimanReham Salah Beram,2025,https://link.springer.com/article/10.1007/s13132-025-02782-x,Article
The impact of sustainable political economy and climate change on cereal yields: empirical evidence from Sub-Saharan Africa,Discover Agriculture,,,,10.1007/s44279-025-00229-0,Nzabirinda EtienneNkurunziza JosephMugenzi Martin,2025,https://link.springer.com/article/10.1007/s44279-025-00229-0,Article
Impact of digital financial inclusion on environmental sustainability in Asian economies,Discover Sustainability,,,,10.1007/s43621-025-01922-2,Diksha KumariArun Kumar GiriChrisovalantis Malesios,2025,https://link.springer.com/article/10.1007/s43621-025-01922-2,Article
Financing options for infrastructure and life ladder in Africa,Discover Cities,,,,10.1007/s44327-025-00068-0,Nelson Derrick NguepiCédric MeytangRodrigue Nobosse TchoffoGuivis Zeufack Nkemgha,2025,https://link.springer.com/article/10.1007/s44327-025-00068-0,Article
Assessing the influence of fiscal policies on mitigating carbon emissions in Somalia,Discover Sustainability,,,,10.1007/s43621-025-01867-6,Abdikani Yusuf AbdulleIdiris Sid Ali MohamedZakaria Abdo Osman,2025,https://link.springer.com/article/10.1007/s43621-025-01867-6,Article
The influence of investment and trade on economic performance: evidence from twelve economic community of West African Member States,Journal of Social and Economic Development,,,,10.1007/s40847-025-00450-z,Evans YeboahVáclav Adamec,2025,https://link.springer.com/article/10.1007/s40847-025-00450-z,Article
Government spending and economic growth dynamics in Somalia: time series evidence from ARDL bounds testing,Discover Sustainability,,,,10.1007/s43621-025-01471-8,Bile Abdisalan NorYusniliyana Yusof,2025,https://link.springer.com/article/10.1007/s43621-025-01471-8,Article
"Impact of green energy, strategic commodities and economic policy uncertainty towards environmental sustainability for Sub-Saharan Africa",Discover Sustainability,,,,10.1007/s43621-025-01023-0,Karambir Singh DhayalMichael Oguwuike EnyoghasimKelechi Clara AnyanwuJoshua Chukwuma OnweArun Kumar Giri,2025,https://link.springer.com/article/10.1007/s43621-025-01023-0,Article
The growth–environment nexus amid geopolitical risks: cointegration and machine learning algorithm approaches,Discover Sustainability,,,,10.1007/s43621-025-00872-z,Md. Idris AliMd. Atikur RahamanMohammed Julfikar AliMd. Ferdausur Rahman,2025,https://link.springer.com/article/10.1007/s43621-025-00872-z,Article
Determinants of foreign portfolio ınvestments: a panel ARDL model application to BRICS countries and Türkiye,Future Business Journal,,,,10.1186/s43093-025-00603-w,kudbeddin şeker,2025,https://link.springer.com/article/10.1186/s43093-025-00603-w,Article
Achieving sustainable economic development amidst conflicts: a study of the role of ease of doing business in development plan,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05949-8,Edmund Ntom UdembaUju Violet AlolaYizhi QIN,2025,https://link.springer.com/article/10.1057/s41599-025-05949-8,Article
Contemporary transitions in the international activities of startups and their policy implications,Journal of International Business Policy,,,,10.1057/s42214-025-00226-6,Shaker A. ZahraNiron Hashai,2025,https://link.springer.com/article/10.1057/s42214-025-00226-6,Article
Policy changes and growth slowdown: assessing Chile’s lost decade,Public Choice,,,,10.1007/s11127-025-01318-w,Emiliano ToniPablo PaniaguaPatricio Órdenes,2025,https://link.springer.com/article/10.1007/s11127-025-01318-w,Article
Aid-environment-globalization nexus revisited: evidence from a dynamic panel threshold analysis,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05671-5,Nouran M. TahaDalia M. IbrahiemRasha Sameh,2025,https://link.springer.com/article/10.1057/s41599-025-05671-5,Article
Impact of illicit financial flows related to extractive commodity trade on Africa’s productive capacity: The moderating role of governance,Mineral Economics,,,,10.1007/s13563-025-00536-4,Ekene ThankGod EmekaSimplice Asongu,2025,https://link.springer.com/article/10.1007/s13563-025-00536-4,Article
Implications of institutional quality for macroeconomic productivity in sub-Saharan Africa,Discover Global Society,,,,10.1007/s44282-025-00235-z,Jervis Sambilla JomiFrancis Menjo Baye,2025,https://link.springer.com/article/10.1007/s44282-025-00235-z,Article
Shadow economy and energy efficiency: utilising goal programming for sustainability assessment,Annals of Operations Research,,,,10.1007/s10479-025-06768-5,Samar S. AlharbiSabri BoubakerThanh NgoMui Kuen Yuen,2025,https://link.springer.com/article/10.1007/s10479-025-06768-5,Article
The impact of the digital economy on sustainable development in the face of geopolitical risks,Digital Economy and Sustainable Development,,,,10.1007/s44265-024-00050-5,Walid MohammediNidhal MgadmiAmeni AbidiWajdi Moussa,2025,https://link.springer.com/article/10.1007/s44265-024-00050-5,Article
Poverty-conflict nexus in Sub-Saharan Africa: a scoping literature review,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05120-3,Moses Naiim FuseiniKaderi Noagah BukariIbrahim Abu AbdulaiTobias TseerAsaah Sumaila MohammedMohammed Gadafi IbrahimWilliam Aduah YoroseSabina Appiah-Boateng,2025,https://link.springer.com/article/10.1057/s41599-025-05120-3,Article
Assessing the impact of agricultural production and institutional quality on environmental degradation in Somalia,Discover Food,,,,10.1007/s44187-025-00310-z,Omar Ahmedqani HusseinAbdulkadir Mohamed Abdullahi,2025,https://link.springer.com/article/10.1007/s44187-025-00310-z,Article
Does financial development influence environmental quality? Evidence from emerging and developing countries,"Environment, Development and Sustainability",,,,10.1007/s10668-024-05873-y,Ibrahim Elatroush,2025,https://link.springer.com/article/10.1007/s10668-024-05873-y,Article
A PLS-SEM approach to understanding the relationship between global competitiveness and environmental performance: the moderating role of perceived corruption,Future Business Journal,,,,10.1186/s43093-025-00586-8,Ahmed Yusuf SarihanHarun Yildiz,2025,https://link.springer.com/article/10.1186/s43093-025-00586-8,Article
Examination and predictions of risk tolerance levels and thresholds in sovereigns’ external debt defaults,International Economics and Economic Policy,,,,10.1007/s10368-025-00655-x,Yaseen Ghulam,2025,https://link.springer.com/article/10.1007/s10368-025-00655-x,Article
Capital flight and its effect on private investment: empirical evidence from Ethiopia,Journal of Innovation and Entrepreneurship,,,,10.1186/s13731-025-00566-w,Fentaw Leykun FissehaGetaneh Mihret Ayele,2025,https://link.springer.com/article/10.1186/s13731-025-00566-w,Article
"The impact of political, financial, and economic risks on energy transition: the role of natural resource rents",Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04370-5,Qiang WangXueting LiRongrong Li,2025,https://link.springer.com/article/10.1057/s41599-025-04370-5,Article
Enhancing efficiency in secondary biomass supply: the role of institutional quality in the EU regions,Economic Change and Restructuring,,,,10.1007/s10644-025-09916-w,Cristian BarraVincenzo D’AtteoEdgardo Sica,2025,https://link.springer.com/article/10.1007/s10644-025-09916-w,Article
"Modelling the marginal effects of energy consumption, ICT, industrialization, and urbanization on environmental sustainability in Somalia: dynamic ARDL and KRLS approaches",Discover Sustainability,,,,10.1007/s43621-025-01027-w,Abdikafi Hassan AbdiAbdifatah Mohamed Muhumed,2025,https://link.springer.com/article/10.1007/s43621-025-01027-w,Article
Economic sustainability in Ethiopia,Discover Sustainability,,,,10.1007/s43621-025-01775-9,Yohannes GirmaAbera AyalewEwunetu Tazebew,2025,https://link.springer.com/article/10.1007/s43621-025-01775-9,Article
From revolution to inflation: the economic consequences of the Arab spring on Yemen’s food prices,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05777-w,Md Abdul BariMohammad Ajmal KhuramGhulam Dastgir KhanMd K Bin Kamal,2025,https://link.springer.com/article/10.1057/s41599-025-05777-w,Article
Why settle?: Partisan-based explanation of investor-state dispute outcomes,The Review of International Organizations,,,,10.1007/s11558-024-09576-x,Haillie Na-Kyung LeeJong Hyun Lee,2024,https://link.springer.com/article/10.1007/s11558-024-09576-x,Article
Exploring factors influencing manufacturing home-shoring strategies: insights from three diverse geographical regions,Journal of International Business Policy,,,,10.1057/s42214-024-00207-1,Diletta PegoraroAgnieszka ChidlowLisa De Propris,2025,https://link.springer.com/article/10.1057/s42214-024-00207-1,Article
Political challenges and crisis management in the Islamic Republic of Iran: a comprehensive analysis,Discover Global Society,,,,10.1007/s44282-025-00247-9,Ebrahim Abbasi,2025,https://link.springer.com/article/10.1007/s44282-025-00247-9,Article
From Shielding to Pushing: Evolving Risk Management Regimes in China’s Infrastructure Export Industrial Policy,Studies in Comparative International Development,,,,10.1007/s12116-025-09483-1,Hong Zhang,2025,https://link.springer.com/article/10.1007/s12116-025-09483-1,Article
Strategic agility of international B2B new ventures: the role of insider control in the board,Review of Managerial Science,,,,10.1007/s11846-025-00929-3,V. ScuottoM. Del Giudice,2025,https://link.springer.com/article/10.1007/s11846-025-00929-3,Article
"Building Resilient Organizations: The Role of Technological Capability, Innovation Leadership, and Sustainability",Global Journal of Flexible Systems Management,,,,10.1007/s40171-025-00471-x,Md. RashedMd. Kamal UddinMohammad Fakhrul IslamMd. Faisal-E-AlamHasanuzzaman TusharMd Emon Ahmed,2025,https://link.springer.com/article/10.1007/s40171-025-00471-x,Article
Higher education for economic development: contexts of escaping low-and-lower-middle-income trap in ASEAN,Discover Education,,,,10.1007/s44217-025-00744-8,Hara Masatoshi,2025,https://link.springer.com/article/10.1007/s44217-025-00744-8,Article
The legacy of the (poor) deceased: The effect of the mortality rate on democracy,International Economics and Economic Policy,,,,10.1007/s10368-025-00688-2,Saeed Khodaverdian,2025,https://link.springer.com/article/10.1007/s10368-025-00688-2,Article
